Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
48,1,8,3490000,"Калининградская область, Калининград, р-н Ленинградский, Первомайская улица",21,13,,1, совмещенный,,,Евроремонт,Кирпичный,,,
37,2,8,3100000,"Калининградская область, Калининград, р-н Ленинградский, улица Свердлова",16.6,9.3,2019,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
43,6,9,3600000,"Калининградская область, Калининград, р-н Ленинградский, Артиллерийская улица",21.8,10.5,,1, совмещенный,,,Евроремонт,Кирпичный,,,
46,2,4,3600000,"Калининградская область, Калининград, р-н Ленинградский, Пехотная улица",21,12,2017,1, совмещенный,1, лоджия,Дизайнерский,Кирпичный,,,
35,8,9,3190000,"Калининградская область, Калининград, р-н Ленинградский, переулок Рассветный",14,9,2019,1, совмещенный,,,Евроремонт,Кирпичный,,,
42,10,16,4750000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",16.1,10.8,2015,1, совмещенный,,,Евроремонт,Монолитно кирпичный,,,
32.4,6,9,1620000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",,,2019,1, совмещенный,1, лоджия,Без ремонта,Монолитный,,,
38,5,6,1950000,"Калининградская область, Калининград, р-н Ленинградский, Озерная улица",,,1994,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
44.5,2,5,1800000,"Калининградская область, Калининград, р-н Ленинградский, Земельная улица",,,1982,,,,,Косметический,Блочный,,,
13.3,1,5,600000,"Калининградская область, Калининград, р-н Ленинградский, Звездная улица, 29",,,1969,1, раздельный,1, балкон,Косметический,,,,
40,4,10,1850000,"Калининградская область, Калининград, р-н Ленинградский, Московский проспект, 18",,,,1, раздельный,1, лоджия,Евроремонт,,,,
39,4,5,2000000,"Калининградская область, Калининград, р-н Ленинградский, Балтийская улица",,,,1, совмещенный,1, балкон,Евроремонт,Блочный,,,
40,2,5,1800000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова",,,1996,1, совмещенный,1, лоджия,Косметический,Блочный,,,
32,2,5,1800000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",,,,1, совмещенный,1, балкон,Косметический,,,,
35,5,10,2100000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",,,1994,1, раздельный,1, балкон,Косметический,Кирпичный,,,
30,5,5,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Галицкого",,,1965,1, совмещенный,1, балкон,Евроремонт,Кирпичный,,,
34,6,9,2100000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Соммера, 24",14,7,1975,,,,,Косметический,Панельный,Железобетонные,Центральное,Центральное
33.3,4,5,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Профессора Севастьянова",,,,1, совмещенный,1, балкон,Косметический,,,,
33,2,2,900000,"Калининградская область, Калининград, р-н Ленинградский, переулок 1-й Туруханский",,,,,,,,Косметический,,,,
40,6,9,2080000,"Калининградская область, Калининград, р-н Ленинградский, улица Гайдара",,,1983,,,1, балкон,Косметический,Панельный,,,
26.7,3,4,1600000,"Калининградская область, Калининград, р-н Ленинградский, улица 1812 года, 112",17,6.1,1939,,,,,Косметический,Кирпичный,Смешанные,Центральное,Центральное
33,5,9,2000000,"Калининградская область, Калининград, р-н Ленинградский, Мариупольская улица",,,1980,1, совмещенный,1, лоджия,Дизайнерский,Панельный,,,
33,11,11,1700000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",,,2013,1, совмещенный,1, балкон,Косметический,Блочный,,,
30.2,3,4,1950000,"Калининградская область, Калининград, р-н Ленинградский, улица Сергеева",16,6,1974,1, совмещенный,1, балкон,Без ремонта,Панельный,,,
36,8,9,2050000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",,,,1, совмещенный,1, лоджия,Косметический,,,,
35,2,5,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",18,7,,1, совмещенный,,,Без ремонта,,,,
56,2,5,1850000,"Калининградская область, Калининград, р-н Ленинградский, Чувашская улица",,,1980,1, совмещенный,,,Косметический,Кирпичный,,,
45,8,15,2199000,"Калининградская область, Калининград, р-н Ленинградский, Орудийная улица",,,,1, совмещенный,1, лоджия,Без ремонта,,,,
33,2,9,1900000,"Калининградская область, Калининград, р-н Ленинградский, Московский проспект",18,6,1974,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
36,5,6,1800000,"Калининградская область, Калининград, р-н Ленинградский, Нарвская улица",,,1983,1, совмещенный,1, балкон,Евроремонт,Блочный,,,
36,5,9,2100000,"Калининградская область, Калининград, р-н Ленинградский, улица Еловая Аллея, 51",,9,1995,1, раздельный,1, лоджия,Косметический,Панельный,Железобетонные,Центральное,Центральное
34,3,3,2400000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина, 33",20,9,,1, совмещенный,,,Евроремонт,,,,
34,3,4,2600000,"Калининградская область, Калининград, р-н Ленинградский, Пролетарская улица, 13",18,7,,1, совмещенный,1, балкон,Евроремонт,,,,
39,5,9,1900000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",,,1982,1, совмещенный,,,Косметический,,,,
37,5,5,1750000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",,,1980,,,1, лоджия,Евроремонт,Кирпичный,,,
37,9,10,1800000,"Калининградская область, Калининград, р-н Ленинградский, Московский проспект",,,1982,1, совмещенный,1, лоджия,Евроремонт,Блочный,,,
35.8,5,9,2000000,"Калининградская область, Калининград, р-н Ленинградский, Мариупольская улица",,,,1, совмещенный,1, балкон,Косметический,,,,
13.1,1,5,900000,"Калининградская область, Калининград, р-н Ленинградский, Партизанский переулок, 1",7.7,,1969,1, совмещенный,,,Евроремонт,Кирпичный,Железобетонные,Центральное,
28.2,2,2,830000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова, 18",,,1939,,,,,Без ремонта,Кирпичный,Деревянные,,
32,4,5,1390000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького, 209",17,6,1991,1, раздельный,,,Косметический,Блочный,Железобетонные,Центральное,Центральное
40,10,11,2550000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Челнокова, 56",,,2017,1, совмещенный,1, лоджия,Без ремонта,,,,
33,4,5,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Профессора Севастьянова",,,,1, совмещенный,1, балкон,Косметический,,,,
37,3,3,1857000,"Калининградская область, Калининград, р-н Ленинградский, Дачная улица, 8",18.2,8.3,2017,1, совмещенный,,,Без ремонта,,,,
37,9,10,1880000,"Калининградская область, Калининград, р-н Ленинградский, Московский проспект",,,,1, раздельный,1, лоджия,Косметический,,,,
36,2,5,1970000,"Калининградская область, Калининград, р-н Ленинградский, Чувашская улица, 9",,,1980,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,Железобетонные,Центральное,
30,3,5,1950000,"Калининградская область, Калининград, р-н Ленинградский, улица Сергеева, 49",16,6,1965,1, совмещенный,1, балкон,Без ремонта,,,,
32,5,5,2150000,"Калининградская область, Калининград, р-н Ленинградский, Северный переулок",,,1965,1, совмещенный,1, балкон,Косметический,Блочный,,,
41.5,15,17,2750000,"Калининградская область, Калининград, р-н Ленинградский, Сельма мкр, улица Виллима Фермора",,,2011,,,,,Косметический,Блочный,,,
44,1,5,1450000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",25,13,1974,1, совмещенный,,,Косметический,Блочный,,,
33,1,1,1400000,"Калининградская область, Калининград, р-н Ленинградский, Краснопрудная улица",,,1939,1, совмещенный,,,Без ремонта,Кирпичный,,,
36,5,5,1750000,"Калининградская область, Калининград, р-н Ленинградский, Земельная улица, 6",16,10.2,1980,,,,,,Кирпичный,Железобетонные,Центральное,Центральное
35,5,9,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Куйбышева, 109",19,8,1977,1, раздельный,1, лоджия,Косметический,Кирпичный,Железобетонные,Центральное,Центральное
47,5,9,3250000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина, 16",23,13,1980,,,,,Косметический,,,,
