Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
27,3,5,1490000,"Калининградская область, Калининград, р-н Центральный, улица Сержанта Мишина",,,1978,1, совмещенный,,,Косметический,Блочный,,,
39,3,10,2750000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,10,2017,1, совмещенный,1, лоджия,Дизайнерский,Кирпичный,,,
33,5,6,1850000,"Калининградская область, Калининград, р-н Центральный, улица Менделеева",18,8,1994,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
30,2,3,2250000,"Калининградская область, Калининград, р-н Центральный, Комсомольская улица",,,1945,1, совмещенный,,,Косметический,,,,
44.93,7,10,2850000,"Калининградская область, Калининград, р-н Центральный, Лужская улица",,,2014,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
45,6,8,5700000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица",,,2012,1, совмещенный,,,Дизайнерский,,,,
46.72,3,5,4650000,"Калининградская область, Калининград, р-н Центральный, улица Космонавта Пацаева, 6А",18.4,13.5,2018,,,,,Без ремонта,,,,
34.4,7,9,2500000,"Калининградская область, Калининград, р-н Центральный, улица Космонавта Леонова",,,1975,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
46,4,9,2550000,"Калининградская область, Калининград, р-н Центральный, улица Ломоносова",,,2015,1, совмещенный,1, лоджия,Косметический,Панельный,,,
33,1,5,2100000,"Калининградская область, Калининград, р-н Центральный, Комсомольская улица",,,1980,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
38.1,4,8,2460000,"Калининградская область, Калининград, р-н Центральный, улица Карташева, 46А",18.3,9.6,2016,1, совмещенный,1, лоджия,,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
40.7,4,9,2500000,"Калининградская область, Калининград, р-н Центральный, Новгородская улица",,,2015,1, раздельный,1, лоджия,Евроремонт,Монолитный,,,
37,5,5,1650000,"Калининградская область, Калининград, р-н Центральный, Советский проспект",,,1980,,,,,Косметический,,,,
31,3,3,2700000,"Калининградская область, Калининград, р-н Центральный, Зоологическая улица, 53",15,8.4,1945,1, раздельный,,,Косметический,Кирпичный,Смешанные,Центральное,Центральное
38.41,7,8,2699000,"Калининградская область, Калининград, р-н Центральный, Красносельская улица, 57",,,2020,,,,,,,,,
24,5,5,1400000,"Калининградская область, Калининград, р-н Центральный, Красная улица",,,1972,1, совмещенный,1, балкон,Евроремонт,Кирпичный,,,
33,5,5,2860000,"Калининградская область, Калининград, р-н Центральный, Зоологическая улица, 11Б",17,6,1980,1, раздельный,1, балкон,Косметический,,,,
38,1,3,2860000,"Калининградская область, Калининград, р-н Центральный, улица Дмитрия Донского, 50",,,1991,1, совмещенный,,,,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
48.8,4,6,2990000,"Калининградская область, Калининград, р-н Центральный, улица Добролюбова",,,2011,1, совмещенный,1, лоджия,Евроремонт,,,,
29,3,3,1900000,"Калининградская область, Калининград, р-н Центральный, улица Космонавта Леонова",19,7.5,1945,,,,,Косметический,Кирпичный,,,
29,4,5,2100000,"Калининградская область, Калининград, р-н Центральный, улица Чайковского",,,,,,,,Косметический,,,,
33,2,4,1600000,"Калининградская область, Калининград, р-н Центральный, Советский проспект",,,,1, совмещенный,1, балкон,Косметический,,,,
73,4,4,4500000,"Калининградская область, Калининград, р-н Центральный, улица Ватутина, 22",17,10,,1, совмещенный,1, балкон,Без ремонта,,,,
33,5,5,1900000,"Калининградская область, Калининград, р-н Центральный, улица Чекистов, 56",,6,,1, раздельный,1, балкон,Косметический,,,,
36.3,6,17,2500000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,,2013,1, совмещенный,1, балкон,Косметический,Блочный,,,
39,5,5,2750000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Беланова, 3",16,14,2011,1, совмещенный,1, балкон,,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
45.9,4,6,2950000,"Калининградская область, Калининград, р-н Центральный, улица Маршала Борзова, 97",19,10.2,1990,,,,,Евроремонт,Панельный,Железобетонные,Центральное,Центральное
38.6,2,4,2550000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица, 59А",14.5,15.4,,1, совмещенный,1, балкон,Без ремонта,,,,
40,1,7,2455000,"Калининградская область, Калининград, р-н Центральный, проспект Победы, 106",19,11,2016,1, совмещенный,,,Косметический,Кирпичный,Железобетонные,,
30,5,5,2400000,"Калининградская область, Калининград, р-н Центральный, улица Чайковского, 26",,,1969,1, раздельный,1, балкон,,Кирпичный,Железобетонные,Центральное,Центральное
32.4,1,3,1550000,"Калининградская область, Калининград, р-н Центральный, проспект Победы",,,,,,,,Косметический,,,,
41,4,7,3350000,"Калининградская область, Калининград, р-н Центральный, Воздушный переулок",,,2019,1, совмещенный,1, лоджия,Дизайнерский,Кирпичный,,,
47.06,1,4,4900000,"Калининградская область, Калининград, р-н Центральный, улица Марата, 5",18.2,13.1,2016,1, совмещенный,1, балкон,Евроремонт,,,,
49.2,2,13,2850000,"Калининградская область, Калининград, р-н Центральный, Красная улица",,,2015,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
37,2,9,2770000,"Калининградская область, Калининград, р-н Центральный, улица Каблукова, 11А",16,9,,1, совмещенный,1, балкон,Евроремонт,,,,
48.9,2,6,5200000,"Калининградская область, Калининград, р-н Центральный, улица Космонавта Пацаева, 6А",18.3,13.1,2018,1, совмещенный,1, балкон,Без ремонта,,,,
30.3,2,3,2500000,"Калининградская область, Калининград, р-н Центральный, Комсомольская улица, 82А",18.7,4.9,1945,1, совмещенный,,,Косметический,,,,
40,1,5,1900000,"Калининградская область, Калининград, р-н Центральный, улица Чекистов",,,,1, раздельный,1, лоджия,Косметический,,,,
31.3,1,5,1450000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Беланова, 61",16.2,6.8,1979,1, совмещенный,,,Косметический,Блочный,Железобетонные,Центральное,Центральное
