Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
39,5,5,1700000,"Калининградская область, Калининград, р-н Московский, бульвар Любови Шевцовой",,,,1, совмещенный,1, балкон,Евроремонт,Блочный,,,
32,1,3,1400000,"Калининградская область, Калининград, р-н Московский, Березовая улица",,,,,,,,Косметический,,,,
30,3,9,1750000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого",,,1988,1, совмещенный,1, лоджия,Дизайнерский,Блочный,,,
36,1,3,1500000,"Калининградская область, Калининград, р-н Московский, Батальная улица",,,,1, совмещенный,1, балкон,Косметический,,,,
34,6,7,2080000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",,,2014,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
32,2,5,1500000,"Калининградская область, Калининград, р-н Московский, улица Подполковника Емельянова, 246",,,1978,1, раздельный,1, балкон,Косметический,Панельный,Железобетонные,,
24,1,5,1610000,"Калининградская область, Калининград, р-н Московский, Полоцкая улица",,,,1, совмещенный,,,Евроремонт,,,,
44,5,10,1700000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого",,,,1, совмещенный,1, балкон,Косметический,Блочный,,,
30,2,5,1650000,"Калининградская область, Калининград, р-н Московский, Мукомольная улица, 10",18,6,1974,,,,,Косметический,Блочный,Смешанные,Центральное,Центральное
44,8,8,2100000,"Калининградская область, Калининград, р-н Московский, Печатная улица",,,,1, совмещенный,1, лоджия,Косметический,,,,
32,5,5,1700000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского, 72",18,7,1984,1, совмещенный,1, балкон,Косметический,Кирпичный,Смешанные,Центральное,Центральное
38,12,14,2000000,"Калининградская область, Калининград, р-н Московский, Летняя улица",,,2019,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
37,5,9,2350000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",,,2014,,,1, лоджия,Евроремонт,Кирпичный,,,
26,13,14,1600000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого",,,2020,1, совмещенный,1, лоджия,Косметический,Монолитный,,,
